原产地及基础参数,,,,,,,修格里城,,,,铁盟哨站,,,,七号自由港,,,,澄明数据中心,,,,阿妮塔战备工厂,,,,阿妮塔能源研究所,,,,荒原站,,,,曼德矿场,,,,淘金乐园,,,
产地,商品,基础货量,基准价格,类型,解锁条件,成本,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值
修格里城,发动机,9,3363,特产,修格里城投资210W,时价,,,,,65,3464,101,1.55 ,259,3665,302 ,1.17 ,112,3565,202,1.80 ,192,,-3363,-17.52 ,346,3968,605,1.75 ,140,3565,202,1.44 ,159,3565,202,1.27 ,256 ,3767 ,404 ,1.58 
,弹丸加速装置,18,2147,特产,修格里城投资30W,时价,,,,,,,,,259,2383,236 ,0.91 ,112,2297,150,1.34 ,192,2448,301,1.57 ,346,2555,408,1.18 ,140,2297,150,1.07 ,159,2296,149,0.94 ,256 ,2448 ,301 ,1.18 
,汽配零件,24,720,普通,修格里城投资10W,时价,,,,,65,742,22,0.34 ,259,822,102 ,0.39 ,112,755.7,35.7,0.32 ,192,792,72,0.38 ,346,863,143,0.41 ,140,777,57,0.41 ,159,755,35,0.22 ,256 ,792 ,72 ,0.28 
,家电,21,848,普通,无条件,时价,,,,,65,848,0,0.00 ,259,899,51 ,0.20 ,112,899,51,0.46 ,192,899,51,0.27 ,346,950,102,0.29 ,140,899,51,0.36 ,159,872,24,0.15 ,256 ,923 ,75 ,0.29 
,红茶,29,688,特产,无条件,时价,,,,,65,709,21,0.32 ,259,873,185 ,0.71 ,112,790,102,0.91 ,192,873,185,0.96 ,346,1039,351,1.01 ,140,790,102,0.73 ,159,791,103,0.65 ,256 ,873 ,185 ,0.72 
,沃德烤鸡,39,300,特产,无条件,时价,,,,,65,316,16,0.25 ,259,464,164 ,0.63 ,112,381.3,81.3,0.73 ,192,456,156,0.81 ,346,613,313,0.90 ,140,381,81,0.58 ,159,390,90,0.57 ,256 ,464 ,164 ,0.64 
,罐头,45,105,普通,无条件,时价,,,,,65,108,3,0.05 ,259,116,11 ,0.04 ,112,113.4,8.4,0.08 ,192,116,11,0.06 ,346,129,24,0.07 ,140,110,5,0.04 ,159,112,7,0.04 ,256 ,119 ,14 ,0.05 
,沃德山泉,60,50,普通,无条件,时价,,,,,65,52,2,0.03 ,259,69,19 ,0.07 ,112,62,12,0.11 ,192,69,19,0.10 ,346,89,39,0.11 ,140,60,10,0.07 ,159,60,10,0.06 ,256 ,69 ,19 ,0.07 
,高档餐具,35,368,普通,无条件,时价,,,,,65,368,0,0.00 ,259,397,29 ,0.11 ,112,383.3,15.3,0.14 ,192,396,28,0.15 ,346,426,58,0.17 ,140,383,15,0.11 ,159,383,15,0.09 ,256 ,397 ,29 ,0.11 
,修格里严选礼包,None,1688,制造,修格里城声望5级,381,,,,,65,1788,100,1.54 ,259,1958,270 ,1.04 ,112,1874,186,1.66 ,192,1958,270,1.41 ,346,2126,438,1.27 ,140,1874,186,1.33 ,159,1874,186,1.17 ,256 ,1958 ,270 ,1.05 
铁盟哨站,防弹背心,11,2847,特产,修格里城投资210W,时价,65,,,,,,,,324,3359,512 ,1.58 ,177,3132,285,1.61 ,257,,,,411,3586,739,1.80 ,75,2932,85,1.13 ,94,2932,85,0.90 ,191 ,3245 ,398 ,2.08 
,弹丸加速装置,12,2067,特产,修格里城投资30W,时价,,,,,,,,,324,2383,316 ,0.98 ,177,2297,230,1.30 ,257,2448,381,1.48 ,411,2555,488,1.19 ,75,2297,230,3.07 ,94,2296,229,2.44 ,191 ,2448 ,381 ,1.99 
,精钢,17,1370,特产,修格里城投资20W,时价,65,1411,41,0.63 ,,,,,324,1657,287 ,0.89 ,177,1480,110,0.62 ,257,1588,218,0.85 ,411,1795,425,1.03 ,75,1411,41,0.55 ,94,1452,82,0.87 ,191 ,1589 ,219 ,1.15 
,炮弹,29,1761,普通,,时价,65,,,,,,,,324,,,,177,1813,52,0.29 ,257,,,,411,,,,75,,,,94,2043,282,3.00 ,191 ,1864 ,103 ,0.54 
,塑胶炸药,20,827,普通,无条件,时价,65,827,0,0.00 ,,,,,324,951,124 ,0.38 ,177,885,58,0.33 ,257,943,116,0.45 ,411,1016,189,0.46 ,75,852,25,0.33 ,94,852,25,0.27 ,191 ,943 ,116 ,0.61 
,子弹,20,677,普通,无条件,时价,65,677,0,0.00 ,,,,,324,757,80 ,0.25 ,177,717,40,0.23 ,257,758,81,0.32 ,411,799,122,0.30 ,75,697,20,0.27 ,94,696,19,0.20 ,191 ,757 ,80 ,0.42 
,汽油,27,570,普通,无条件,时价,65,587,17,0.26 ,,,,,324,656,86 ,0.27 ,177,603,33,0.19 ,257,637,67,0.26 ,411,690,120,0.29 ,75,586,16,0.21 ,94,587,17,0.18 ,191 ,638 ,68 ,0.36 
,靛红五月军用食品,47,177,普通,无条件,时价,65,181,4,0.06 ,,,,,324,204,27 ,0.08 ,177,190,13,0.07 ,257,200,23,0.09 ,411,227,50,0.12 ,75,177,0,0.00 ,94,177,0,0.00 ,191 ,195 ,18 ,0.09 
7号自由港,桦石发财树,7,4888,特产,七号自由港投资70W,时价,259,5279,391,1.51 ,324,5401,513,1.58 ,,,,,202,5279,391,1.94 ,116,5156,268,2.31 ,162,5157,269,1.66 ,399,5523,635,1.59 ,417,5522,634,1.52 ,514 ,5792 ,904 ,1.76 
,石墨烯,10,2300,特产,七号自由港投资210W,时价,259,2557,257,0.99 ,324,,,,,,,,202,,-2300,-11.39 ,116,,-2300,-19.83 ,162,2534,234,1.44 ,399,2750,450,1.13 ,417,2810,510,1.22 ,514 ,2834 ,534 ,1.04 
,人工晶花,16,1777,特产,七号自由港投资10W,时价,259,1997,220,0.85 ,324,2081,304,0.94 ,,,,,202,1996.4,219.4,1.09 ,116,1913,136,1.17 ,162,1913,136,0.84 ,399,2163,386,0.97 ,417,2164,387,0.93 ,514 ,2301 ,524 ,1.02 
,班节虾,35,588,特产,无条件,时价,259,782,194,0.75 ,324,869,281,0.87 ,,,,,202,782,194,0.96 ,116,694,106,0.91 ,162,694,106,0.65 ,399,958,370,0.93 ,417,958,370,0.89 ,514 ,1047 ,459 ,0.89 
,电子配件,21,1024,普通,无条件,时价,259,1137,113,0.44 ,324,1211,187,0.58 ,,,,,202,1167,143,0.71 ,116,1095,71,0.61 ,162,1096,72,0.44 ,399,1219,195,0.49 ,417,1249,225,0.54 ,514 ,1260 ,236 ,0.46 
,航天纪念品,28,777,普通,无条件,时价,259,862,85,0.33 ,324,894,117,0.36 ,,,,,202,861.7,84.7,0.42 ,116,808,31,0.27 ,162,807,30,0.19 ,399,901,124,0.31 ,417,924,147,0.35 ,514 ,932 ,155 ,0.30 
,坚果,42,210,普通,无条件,时价,259,237.5,27.5,0.11 ,324,254,44,0.14 ,,,,,202,237.2,27.2,0.13 ,116,220,10,0.09 ,162,221,11,0.07 ,399,252,42,0.11 ,417,265,55,0.13 ,514 ,275 ,65 ,0.13 
,啤酒,56,117,普通,无条件,时价,259,132.5,15.5,0.06 ,324,145,28,0.09 ,,,,,202,133,16,0.08 ,116,124,7,0.06 ,162,126,9,0.06 ,399,142,25,0.06 ,417,149,32,0.08 ,514 ,148 ,31 ,0.06 
,海盐,70,88,普通,无条件,时价,259,99,11,0.04 ,324,104,16,0.05 ,,,,,202,101,13,0.06 ,116,92,4,0.03 ,162,92,4,0.02 ,399,108,20,0.05 ,417,109,21,0.05 ,514 ,113 ,25 ,0.05 
